School Name,Street Address,Suburb,Sector,lat,lon
Maribyrnong Primary,Alberga Street,Kaleen,Government,-35.235115,149.102261
Majura Primary,Knox Street,Watson,Government,-35.238509,149.15501
University of Canberra - Senior Secondary College Lake Ginninderra,Emu Bank,Belconnen,Government,-35.238771,149.073894
Islamic School of Canberra,Heysen Street,Weston,Non-Government,-35.240588,149.15037
St Matthew's Primary,Stutchbury Street,Page,Non-Government,-35.240755,149.041555
Radford College,College Street,Bruce,Non-Government,-35.243503,149.089323
Hawker College,Murranji Street,Hawker,Government,-35.245207,149.033634
Rosary Primary,Fleming Street,Watson,Non-Government,-35.24641,149.154682
Belconnen High,Murranji Street,Hawker,Government,-35.246957,149.039298
Alternative Education Program/Dickson College,Phillip Avenue,Dickson,Government,-35.248452,149.154143
Dickson College,Phillip Avenue,Dickson,Government,-35.249,149.153
Secondary Introductory English Centre (at Dickson College),Phillip Avenue,Dickson,Government,-35.249,149.153
Brindabella Christian College - Lyneham Campus,Brigalow Street,Lyneham,Non-Government,-35.249003,149.127639
Blue Gum Community School,Maitland Street,Hackett,Non-Government,-35.249947,149.162514
Macquarie Primary,Bennelong Crescent,Macquarie,Government,-35.250069,149.059393
Hawker Primary,Erldunda Cicuit,Hawker,Government,-35.250284,149.034593
Canberra High,Bindubi Street,Macquarie,Government,-35.251302,149.074517
Lyneham Primary,Hall Street,Lyneham,Government,-35.25148,149.124974
Weetangera Primary,Southwell Street,Weetangera,Government,-35.251826,149.047137
Lyneham High,Goodwin Street,Lyneham,Government,-35.252379,149.130653
Emmaus Christian School,Davenport Street,Dickson,Non-Government,-35.253355,149.142818
Daramalan College,Cowper Street,Dickson,Non-Government,-35.253518,149.138695
Ainslie North Primary,Majura Avenue,Ainslie,Government,-35.254797,149.145509
Northside Primary Introductory English Centre (at North Ainslie Primary School),Majura Avenue,Ainslie,Government,-35.254797,149.145509
St Vincent's Primary,Bindel Street,Aranda,Non-Government,-35.254993,149.076661
Aranda Primary,Banambila Crescent,Aranda,Government,-35.255999,149.079914
St Joseph's Primary,Boronia Drive,O'Connor,Non-Government,-35.259648,149.126375
O'Connor Cooperative School,MacPherson Street,O'Connor,Government,-35.261994,149.120736
O'Connor Cooperative School,MacPherson Street,O'Connor,Government,-35.261994,149.120736
Turner School,Condamine Street,Turner,Government,-35.264995,149.126081
Turner Early Childhood Centre,Condamine Street,Turner,Government,-35.264995,149.126081
Black Mountain  School,Dryandra Street,O'Connor,Government,-35.265224,149.112366
Merici College,Wise Street,Braddon,Non-Government,-35.266525,149.137037
Ainslie School,Donaldson Street,Braddon,Government,-35.273729,149.139632
Campbell High,Treloar Crescent,Campbell,Government,-35.278101,149.147123
Canberra Grammar School - Northside - early childhood campus,Blamey Crescent,Campbell,Non-Government,-35.285316,149.147091
St Thomas More's Primary,White Crescent,Campbell,Non-Government,-35.286717,149.156836
Campbell Primary,Chauvel Street,Campbell,Government,-35.290271,149.156099
Yarralumla Primary,Loftus Street,Yarralumla,Government,-35.306948,149.103234
Canberra Girls' Grammar School - Junior school campus,Grey Street,Deakin,Non-Government,-35.312126,149.110759
Telopea Park School,New South Wales Crescent,Barton,Government,-35.313804,149.134385
Telopea Park School,New South Wales Crescent,Barton,Government,-35.313804,149.134385
Forrest Primary,National Circuit,Forrest,Government,-35.315084,149.126171
Canberra Girls' Grammar School,Melbourne Avenue,Deakin,Non-Government,-35.31699,149.115115
Charles Weston School,Woodberry Avenue,Coombs,Government,-35.322603,149.042848
St Edmund's College,Canberra Avenue,Griffith,Non-Government,-35.32282,149.144242
Alfred Deakin High,Denison Street,Deakin,Government,-35.323849,149.094282
St Clare's College,McMillan Crescent,Griffith,Non-Government,-35.323929,149.14765
Woden School (The),Denison Street,Deakin,Government,-35.326599,149.092398
Holy Trinity Primary,Theodore Street,Curtin,Non-Government,-35.327679,149.081951
Orana Steiner School,Unwin Place,Weston,Non-Government,-35.327858,149.058949
Narrabundah Early Childhood School,Kootara Crescent,Narrabundah,Government,-35.329016,149.150698
Narrabundah Early Childhood School,Kootara Crescent,Narrabundah,Government,-35.329016,149.150698
Canberra Grammar School,Monaro Crescent,Red Hill,Non-Government,-35.330919,149.124674
Curtin Primary,Theodore Street,Curtin,Government,-35.331662,149.079926
Canberra Montessori School,Mulley Street,Holder,Non-Government,-35.332247,149.051068
Hughes Primary,Kent Street,Hughes,Government,-35.332248,149.093456
Southside Primary Introductory English Centre (at Hughes Primary School),Kent Street,Hughes,Government,-35.332248,149.093456
Canberra Grammar School - Junior school campus,Alexander Street,Red Hill,Non-Government,-35.332344,149.124691
Canberra Grammar School - Southside - early childhood campus,Alexander Street,Red Hill,Non-Government,-35.332344,149.124691
St Jude's Primary,Mulley Street,Holder,Non-Government,-35.333941,149.049819
Duffy Primary,Burrinjuck Crescent,Duffy,Government,-35.334219,149.033656
St Benedict's Primary,Tallara Parkway,Narrabundah,Non-Government,-35.33483,149.148034
Narrabundah College,Jerrabomberra Avenue,Narrabundah,Government,-35.336028,149.147301
Malkara School,Wisdom Street,Garran,Government,-35.337447,149.09402
St Bede's Primary,Nuyts Street,Red Hill,Non-Government,-35.338847,149.128788
St's Peter & Paul,Wisdom Street,Garran,Non-Government,-35.339376,149.092732
Red Hill Primary,Astrolabe Street,Red Hill,Government,-35.339741,149.132893
Canberra College,Launceston Street,Phillip,Government,-35.340387,149.088676
Lyons Early Childhood School,Tarraleah Crescent,Lyons,Government,-35.341633,149.076243
Lyons Early Childhood School,Tarraleah Crescent,Lyons,Government,-35.341633,149.076243
Garran Primary,Gilmore Crescent,Garran,Government,-35.344681,149.103287
Hospital School (The)/Canberra Hospital,Yamba Drive,Garran,Government,-35.34513,149.10078
Alternative Education Program/Canberra College,Fremantle Drive,Stirling,Government,-35.350801,149.049754
St John Vianney's Primary,Namatjira Drive,Waramanga,Non-Government,-35.351057,149.055559
Arawang Primary,Nemarang Crescent,Waramanga,Government,-35.355017,149.059719
Mount Stromlo High School,Badimara Street,Waramanga,Government,-35.355429,149.05436
Canberra Christian School,Ainsworth Street,Mawson,Non-Government,-35.356475,149.097963
Chapman Primary,Perry Drive,Chapman,Government,-35.356878,149.043079
Marist College Canberra,Marr Street,Pearce,Non-Government,-35.357959,149.088697
Mawson Primary,Ainsworth Street,Mawson,Government,-35.358505,149.097655
Melrose High,Marr Street,Pearce,Government,-35.363475,149.089434
Melrose Guidance and Counselling Service/Melrose HS,Marr Street,Pearce,Government,-35.363475,149.089434
Sacred Heart Primary,Murphy Street,Pearce,Non-Government,-35.366936,149.084391
Torrens Primary,Ritchie Street,Torrens,Government,-35.370046,149.090949
Taylor Primary,Marconi Crescent,Kambah,Government,-35.378318,149.064261
Farrer Primary,Lambrigg Street,Farrer,Government,-35.378739,149.107114
The Galilee School,PO Box 1066,Tuggeranong,Non-Government,-35.380778,149.035968
St Thomas the Apostle Primary,Boddington Crescent,Kambah,Non-Government,-35.382449,149.051977
Tuggeranong Introductory English Centre (at Wanniassa Hills Primary School),Langdon Avenue,Wanniassa,Government,-35.39282,149.09216
Wanniassa Hills Primary,Langdon Avenue,Wanniassa,Government,-35.393069,149.095898
Namadgi School,O'Halloran Circuit,Kambah,Government,-35.393842,149.064431
Namadgi School,O'Halloran Circuit,Kambah,Government,-35.393842,149.064431
Namadgi School,O'Halloran Circuit,Kambah,Government,-35.393842,149.064431
St Anthony's Primary,Wheeler Crescent,Wanniassa,Non-Government,-35.394049,149.080086
Wanniassa School,Sternberg Crescent,Wanniassa,Government,-35.394992,149.086363
Wanniassa School,Sternberg Crescent,Wanniassa,Government,-35.394992,149.086363
Wanniassa School,Wheeler Crescent,Wanniassa,Government,-35.395277,149.085588
Erindale College,McBryde Crescent,Wanniassa,Government,-35.403008,149.09717
Fadden Primary,Hanlon Crescent,Fadden,Government,-35.404286,149.118175
St Mary MacKillop College - Isabella Plains Campus,Ellerston Avenue,Isabella Plains,Non-Government,-35.404923,149.089258
St Mary MacKillop College - Wanniassa Campus,Mackinnon Street,Wanniassa,Non-Government,-35.404923,149.089258
Trinity Christian School,McBryde Crescent,Wanniassa,Non-Government,-35.408265,149.086051
Holy Family Parish Primary,Castleton Crescent,Gowrie,Non-Government,-35.410301,149.116552
Lake Tuggeranong College,Cowlishaw Street,Tuggeranong,Government,-35.4132,149.067934
Gowrie Primary,Jeffries Street,Gowrie,Government,-35.413608,149.110565
Monash Primary,Corlette Crescent,Monash,Government,-35.414879,149.089411
Caroline Chisholm School,Hambidge Crescent,Chisholm,Government,-35.418155,149.122047
Caroline Chisholm Primary,Hambidge Crescent,Chisholm,Government,-35.418155,149.122047
Caroline Chisholm School,Hambidge Crescent,Chisholm,Government,-35.418155,149.122047
Gilmore Primary,Heagney Crescent,Gilmore,Government,-35.419488,149.135582
Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,Government,-35.428716,149.089497
Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,Government,-35.428716,149.089497
Richardson Primary,May Gibbs Close,Richardson,Government,-35.428859,149.113943
Bonython Primary,Hurtle Avenue,Bonython,Government,-35.431846,149.082604
Calwell Primary,Casey Crescent,Calwell,Government,-35.438412,149.109254
Covenant Christian School,Woodcock Drive,Gordon,Non-Government,-35.439222,149.090709
St Francis of Assisi Primary,Casey Crescent,Calwell,Non-Government,-35.440799,149.119593
Calwell High,Casey Crescent,Calwell,Government,-35.441052,149.117635
Birrigai Outdoor School,Tidbinbilla Road,Tharwa,Government,-35.444729,148.959975
Theodore Primary,Lawrence-Wackett Crescent,Theodore,Government,-35.447667,149.12396
Gordon Primary,Knoke Avenue,Gordon,Government,-35.455517,149.086978
St Clare of Assisi Primary,Heidelberg Street,Conder,Non-Government,-35.45791,149.096766
Lanyon High,Heidelberg Street,Conder,Government,-35.460389,149.09507
Charles Conder Primary,Tom Roberts Avenue,Conder,Government,-35.464883,149.098449
